"date","energy","impact_e","lat","lat_dir","lon","lon_dir","alt","vel"
2007-10-07,5.8,0.19,-35.2,"S",-125.6,"E",NA,NA
2007-09-22,23.7,0.65,-49.2,"S",85.5,"W",30.2,16.9
2007-06-11,4.9,0.16,-23.4,"S",170.9,"W",35.2,17
2007-06-08,23.5,0.65,-52,"S",-175.3,"E",38.9,NA
2007-06-07,3.1,0.11,21.9,"N",-53.1,"E",29.6,NA
2007-05-16,3.8,0.13,-4.5,"S",-111.7,"E",NA,NA
2007-05-16,40,1,-42.4,"S",-164,"E",31.5,NA
2007-05-04,17.5,0.5,22.9,"N",-109.4,"E",48,NA
2007-04-18,11.2,0.33,-83.7,"S",171.2,"W",38,24.4
2007-04-16,2.4,0.086,NA,NA,NA,NA,NA,NA
2007-03-17,4,0.13,7.1,"N",-4.1,"E",32.5,14.5
2007-03-15,2.5,0.089,-44.1,"S",148.4,"W",NA,NA
2007-03-07,2.7,0.095,NA,NA,NA,NA,NA,NA
2007-02-02,34,0.89,24,"N",37.2,"W",35.5,NA
2007-01-26,14.7,0.43,3.7,"N",-99.7,"E",NA,NA
2007-01-22,7.6,0.24,45.4,"N",-53.5,"E",32,13.4
2007-01-18,3.2,0.11,5.3,"N",164.3,"W",34.1,NA
2007-01-17,54.8,1.4,-8.7,"S",-50.8,"E",33.3,NA
2007-01-01,3.6,0.12,44.4,"N",-116.5,"E",53,NA
2006-12-09,741,14,26.2,"N",-26,"E",26.5,15.9
2006-12-07,2.1,0.076,14,"N",140,"W",NA,NA
2006-12-01,6.3,0.2,-13,"S",-30.7,"E",NA,NA
2006-11-13,2.3,0.082,-44,"S",-43.3,"E",NA,NA
2006-10-24,22.5,0.62,-1.9,"S",2.7,"W",43,NA
2006-10-14,25.8,0.7,49.4,"N",175,"W",44.4,23.9
2006-10-09,4.1,0.14,-47,"S",-78.9,"E",22.2,NA
2006-10-07,4.1,0.14,-23,"S",61.8,"W",40.7,NA
2006-10-02,9,0.28,14,"N",-53.1,"E",42,NA
2006-09-27,10.7,0.32,-32,"S",-60.2,"E",48.1,NA
2006-09-23,12.1,0.36,-29,"S",108,"W",NA,NA
2006-09-02,2.2,0.079,NA,NA,NA,NA,NA,NA
2006-09-02,123,2.8,-14,"S",-109.1,"E",44.1,14.2
2006-08-29,9.2,0.28,-44,"S",162,"W",40.7,NA
2006-08-18,3.2,0.11,-43,"S",-33.4,"E",47.2,NA
2006-08-17,25.6,0.7,-11,"S",-165.7,"E",48.2,NA
2006-08-15,4.7,0.16,4.9,"N",-49.6,"E",32.7,NA
2006-08-09,102,2.4,-23.1,"S",-53.7,"E",37,NA
2006-07-15,8.5,0.26,-78.3,"S",5,"W",29.6,12.4
2006-07-15,16.3,0.47,31.1,"N",-45.6,"E",38.9,30.2
2006-06-07,5.9,0.19,69.2,"N",-22.5,"E",40.7,19.6
2006-05-28,2.6,0.092,NA,NA,NA,NA,NA,NA
2006-05-21,26.3,0.71,-11.6,"S",25.5,"W",NA,NA
2006-05-07,3,0.1,NA,NA,NA,NA,NA,NA
2006-05-06,12.8,0.38,-60.2,"S",152.3,"W",35.2,NA
2006-04-25,2,0.073,NA,NA,NA,NA,NA,NA
2006-04-08,12.7,0.37,17.3,"N",113.2,"W",33.3,NA
2006-04-04,240,5,26.6,"N",26.6,"W",25,NA
2006-03-14,14.4,0.42,7,"N",64.6,"W",35.2,NA
2006-02-26,7,0.22,NA,NA,NA,NA,NA,NA
2006-02-06,119,2.7,-54.5,"S",-18.1,"E",35.2,NA
2006-02-04,10,0.3,36.9,"N",143.6,"W",38.9,19.8
2006-01-28,74,1.8,-51.7,"S",-56.4,"E",37,18.7
2006-01-27,4.5,0.15,58.7,"N",-74.7,"E",20,NA
2006-01-26,5.3,0.17,-79.8,"S",111,"W",37,NA
2006-01-10,2.8,0.098,29.8,"N",12.7,"W",32.4,16.9
2006-01-08,9.4,0.29,7.6,"N",28.2,"W",NA,NA
